name	type	units	sampling_frequency	low_cutoff	high_cutoff	notch	status
GateIn	TRIG	n/a	1450.0	n/a	n/a	n/a	good
Trig1	TRIG	n/a	1450.0	n/a	n/a	n/a	good
Trig2	TRIG	n/a	1450.0	n/a	n/a	n/a	good
EOG	EOG	microV	1450.0	n/a	n/a	n/a	good
FP1	EEG	microV	1450.0	n/a	n/a	n/a	good
FPZ	EEG	microV	1450.0	n/a	n/a	n/a	good
FP2	EEG	microV	1450.0	n/a	n/a	n/a	good
AF1	EEG	microV	1450.0	n/a	n/a	n/a	good
AFZ	EEG	microV	1450.0	n/a	n/a	n/a	good
AF2	EEG	microV	1450.0	n/a	n/a	n/a	good
F7	EEG	microV	1450.0	n/a	n/a	n/a	good
F5	EEG	microV	1450.0	n/a	n/a	n/a	good
F1	EEG	microV	1450.0	n/a	n/a	n/a	good
FZ	EEG	microV	1450.0	n/a	n/a	n/a	good
F2	EEG	microV	1450.0	n/a	n/a	n/a	good
F6	EEG	microV	1450.0	n/a	n/a	n/a	good
F8	EEG	microV	1450.0	n/a	n/a	n/a	good
FT9	EEG	microV	1450.0	n/a	n/a	n/a	good
FT7	EEG	microV	1450.0	n/a	n/a	n/a	good
FC5	EEG	microV	1450.0	n/a	n/a	n/a	good
FC3	EEG	microV	1450.0	n/a	n/a	n/a	good
FC1	EEG	microV	1450.0	n/a	n/a	n/a	good
FCZ	EEG	microV	1450.0	n/a	n/a	n/a	good
FC2	EEG	microV	1450.0	n/a	n/a	n/a	good
FC4	EEG	microV	1450.0	n/a	n/a	n/a	good
FC6	EEG	microV	1450.0	n/a	n/a	n/a	good
FT8	EEG	microV	1450.0	n/a	n/a	n/a	good
FT10	EEG	microV	1450.0	n/a	n/a	n/a	good
T3	EEG	microV	1450.0	n/a	n/a	n/a	good
C5	EEG	microV	1450.0	n/a	n/a	n/a	good
C3	EEG	microV	1450.0	n/a	n/a	n/a	good
C1	EEG	microV	1450.0	n/a	n/a	n/a	good
CZ	EEG	microV	1450.0	n/a	n/a	n/a	good
C2	EEG	microV	1450.0	n/a	n/a	n/a	good
C4	EEG	microV	1450.0	n/a	n/a	n/a	good
C6	EEG	microV	1450.0	n/a	n/a	n/a	good
T4	EEG	microV	1450.0	n/a	n/a	n/a	good
TP9	EEG	microV	1450.0	n/a	n/a	n/a	good
TP7	EEG	microV	1450.0	n/a	n/a	n/a	good
CP5	EEG	microV	1450.0	n/a	n/a	n/a	good
CP3	EEG	microV	1450.0	n/a	n/a	n/a	good
CP1	EEG	microV	1450.0	n/a	n/a	n/a	good
CPZ	EEG	microV	1450.0	n/a	n/a	n/a	good
CP2	EEG	microV	1450.0	n/a	n/a	n/a	good
CP4	EEG	microV	1450.0	n/a	n/a	n/a	good
CP6	EEG	microV	1450.0	n/a	n/a	n/a	good
TP8	EEG	microV	1450.0	n/a	n/a	n/a	good
TP10	EEG	microV	1450.0	n/a	n/a	n/a	good
P9	EEG	microV	1450.0	n/a	n/a	n/a	good
P7	EEG	microV	1450.0	n/a	n/a	n/a	good
P3	EEG	microV	1450.0	n/a	n/a	n/a	good
P1	EEG	microV	1450.0	n/a	n/a	n/a	good
PZ	EEG	microV	1450.0	n/a	n/a	n/a	good
P2	EEG	microV	1450.0	n/a	n/a	n/a	good
P4	EEG	microV	1450.0	n/a	n/a	n/a	good
P8	EEG	microV	1450.0	n/a	n/a	n/a	good
P10	EEG	microV	1450.0	n/a	n/a	n/a	good
PO3	EEG	microV	1450.0	n/a	n/a	n/a	good
POZ	EEG	microV	1450.0	n/a	n/a	n/a	good
PO4	EEG	microV	1450.0	n/a	n/a	n/a	good
O1	EEG	microV	1450.0	n/a	n/a	n/a	good
OZ	EEG	microV	1450.0	n/a	n/a	n/a	good
O2	EEG	microV	1450.0	n/a	n/a	n/a	good
IZ	EEG	microV	1450.0	n/a	n/a	n/a	good
STI 014	TRIG	n/a	1450.0	n/a	n/a	n/a	good
