name	type	units	sampling_frequency	low_cutoff	high_cutoff	notch
GateIn	TRIG	n/a	1450.0	n/a	n/a	n/a
Trig1	TRIG	n/a	1450.0	n/a	n/a	n/a
Trig2	TRIG	n/a	1450.0	n/a	n/a	n/a
EOG 061	202	n/a	1450.0	n/a	n/a	n/a
EEG 001	EEG	microV	1450.0	n/a	n/a	n/a
EEG 002	EEG	microV	1450.0	n/a	n/a	n/a
EEG 003	EEG	microV	1450.0	n/a	n/a	n/a
EEG 004	EEG	microV	1450.0	n/a	n/a	n/a
EEG 005	EEG	microV	1450.0	n/a	n/a	n/a
EEG 006	EEG	microV	1450.0	n/a	n/a	n/a
EEG 007	EEG	microV	1450.0	n/a	n/a	n/a
EEG 008	EEG	microV	1450.0	n/a	n/a	n/a
EEG 009	EEG	microV	1450.0	n/a	n/a	n/a
EEG 010	EEG	microV	1450.0	n/a	n/a	n/a
EEG 011	EEG	microV	1450.0	n/a	n/a	n/a
EEG 012	EEG	microV	1450.0	n/a	n/a	n/a
EEG 013	EEG	microV	1450.0	n/a	n/a	n/a
EEG 014	EEG	microV	1450.0	n/a	n/a	n/a
EEG 015	EEG	microV	1450.0	n/a	n/a	n/a
EEG 016	EEG	microV	1450.0	n/a	n/a	n/a
EEG 017	EEG	microV	1450.0	n/a	n/a	n/a
EEG 018	EEG	microV	1450.0	n/a	n/a	n/a
EEG 019	EEG	microV	1450.0	n/a	n/a	n/a
EEG 020	EEG	microV	1450.0	n/a	n/a	n/a
EEG 021	EEG	microV	1450.0	n/a	n/a	n/a
EEG 022	EEG	microV	1450.0	n/a	n/a	n/a
EEG 023	EEG	microV	1450.0	n/a	n/a	n/a
EEG 024	EEG	microV	1450.0	n/a	n/a	n/a
EEG 025	EEG	microV	1450.0	n/a	n/a	n/a
EEG 026	EEG	microV	1450.0	n/a	n/a	n/a
EEG 027	EEG	microV	1450.0	n/a	n/a	n/a
EEG 028	EEG	microV	1450.0	n/a	n/a	n/a
EEG 029	EEG	microV	1450.0	n/a	n/a	n/a
EEG 030	EEG	microV	1450.0	n/a	n/a	n/a
EEG 031	EEG	microV	1450.0	n/a	n/a	n/a
EEG 032	EEG	microV	1450.0	n/a	n/a	n/a
EEG 033	EEG	microV	1450.0	n/a	n/a	n/a
EEG 034	EEG	microV	1450.0	n/a	n/a	n/a
EEG 035	EEG	microV	1450.0	n/a	n/a	n/a
EEG 036	EEG	microV	1450.0	n/a	n/a	n/a
EEG 037	EEG	microV	1450.0	n/a	n/a	n/a
EEG 038	EEG	microV	1450.0	n/a	n/a	n/a
EEG 039	EEG	microV	1450.0	n/a	n/a	n/a
EEG 040	EEG	microV	1450.0	n/a	n/a	n/a
EEG 041	EEG	microV	1450.0	n/a	n/a	n/a
EEG 042	EEG	microV	1450.0	n/a	n/a	n/a
EEG 043	EEG	microV	1450.0	n/a	n/a	n/a
EEG 044	EEG	microV	1450.0	n/a	n/a	n/a
EEG 045	EEG	microV	1450.0	n/a	n/a	n/a
EEG 046	EEG	microV	1450.0	n/a	n/a	n/a
EEG 047	EEG	microV	1450.0	n/a	n/a	n/a
EEG 048	EEG	microV	1450.0	n/a	n/a	n/a
EEG 049	EEG	microV	1450.0	n/a	n/a	n/a
EEG 050	EEG	microV	1450.0	n/a	n/a	n/a
EEG 051	EEG	microV	1450.0	n/a	n/a	n/a
EEG 052	EEG	microV	1450.0	n/a	n/a	n/a
EEG 053	EEG	microV	1450.0	n/a	n/a	n/a
EEG 054	EEG	microV	1450.0	n/a	n/a	n/a
EEG 055	EEG	microV	1450.0	n/a	n/a	n/a
EEG 056	EEG	microV	1450.0	n/a	n/a	n/a
EEG 057	EEG	microV	1450.0	n/a	n/a	n/a
EEG 058	EEG	microV	1450.0	n/a	n/a	n/a
EEG 059	EEG	microV	1450.0	n/a	n/a	n/a
EEG 060	EEG	microV	1450.0	n/a	n/a	n/a
STI 014	TRIG	n/a	1450.0	n/a	n/a	n/a
